timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,additional_monetary_comp,currency,income_context,country,us_state,city,years_of_experience_in_field,years_of_experience_overall,highest_level_of_education,gender,race
2021-04-20 14:13,25-34,Engineering (Civil),Civil Engineer,Contract role,"129,537",,USD,,United States,Texas,Portland,11 - 20 years,11 - 20 years,Master's degree,woman,
4/29/2021 14:37:21,65 or over,HR/People Ops,HR Manager,Entry level position,56130,,GBP,,United States,Illinois,,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",man,Another option not listed here
2021-04-18 01:58,65 or over,Tech/Software,software engineer,," 108,434 ",,CAD,before tax,Canada,,,11 - 20 years,11 - 20 years,College degree,Man,Another option not listed here
04/28/2021 05:43:42,55-64,Insurance,Underwriter,,"66,262.00",,EUR,,Germany,,,2 - 4 years,2 - 4 years,Master's degree,Male,White
04/13/2021,35-44,Insurance,Insurance Agent,,"83,486",,USD,,,,,21 - 30 years,21 - 30 years,High School,man,"Hispanic, Latino, or Spanish origin"
4/22/2021 11:00:39,25-34,HR/People Ops,Chief People Officer,Remote position," 59,782 ",,CAD,,USA,California,,8 - 10 years,8 - 10 years,College degree,Man,
04/25/2021 01:39:08,25-34,HR/People Ops,People Operations Manager,,"88,383.00",,GBP,,United States,,,8 - 10 years,8 - 10 years,College degree,Man,White
4/17/2021 11:08:14,35-44,Real Estate,Real Estate Manager,Entry level position,"91,173",,CAD,,Germany,,New York,5-7 years,5-7 years,College degree,Non-binary,White
04/25/2021,35-44,Banking/Finance,Compliance Officer,Remote position," 122,351 ",,GBP,,United States,Oregon,Seattle,21 - 30 years,21 - 30 years,College degree,Female,Asian or Asian American
04/19/2021,25-34,HR/People Ops,HR Business Partner,,"112,977.00",,usd,gross,United States,Oregon,Boston,5-7 years,5-7 years,College degree,Non-binary/third gender,Another option not listed here
4/27/2021 17:12:42,25-34,Nonprofit,Program Coordinator,Contract role,$50221,,USD,gross,United States,Illinois,,2 - 4 years,2 - 4 years,Master's degree,Man,Another option not listed here
04/22/2021,35-44,Real Estate,Property Manager,Contract role,"100,195.00","10,626.00",GBP,USD equivalent,United Kingdom,,,41 years or more,41 years or more,PhD,Man,Multiracial
4/27/2021 21:07:30,25-34,Government & Public Administration,Budget Analyst,Academic salary,100904,$20305,GBP,,USA,Texas,,5-7 years,5-7 years,Master's degree,Man,Another option not listed here
04/12/2021 04:16:13,18-24,Healthcare,Nurse Practitioner,Senior level,158129,"2,526",USD,,Canada,,,8 - 10 years,8 - 10 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
04/20/2021,45-54,Hospitality,General Manager,Commission based," 53,388 ","12,233",USD,,United States,Colorado,,8 - 10 years,8 - 10 years,College degree,man,Asian or Asian American
04/24/2021 19:18:15,45-54,Nursing,Charge Nurse,Government pay scale,"143,223",6908,AUD,gross,Australia,,,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
04/24/2021,45-54,Engineering,Principal Engineer,,"87,277",,USD,,Switzerland,,Chicago,8 - 10 years,8 - 10 years,Some college,Man,Asian or Asian American
4/25/2021 23:54:09,55-64,Education (Higher Ed),Postdoctoral Researcher,,"116,253",,CAD,,US,Massachusetts,,8 - 10 years,8 - 10 years,College degree,Non-binary,White
04/23/2021,35-44,Consulting,Associate Consultant,Entry level position,"128,829.00",$424,usd,,United Kingdom,,New York,8 - 10 years,8 - 10 years,College degree,woman,"Hispanic, Latino, or Spanish origin"
2021-04-28 10:14,45-54,Education (K-12),High School Teacher,Entry level position,"50,254",,USD,,United Kingdom,,New York,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
2021-04-21 18:44,25-34,Banking/Finance,Risk Analyst,Academic salary," 65,992 ",,USD,net,United States,California,Denver,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
04/18/2021,25-34,Finance,Financial Analyst,Academic salary,"98,840",,GBP,,Germany,,,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
4/13/2021 8:54:37,35-44,Legal,Legal Counsel,,"127,921.00",,CAD,,,,Boston,5-7 years,5-7 years,College degree,woman,Black or African American
04/15/2021 19:53:53,25-34,Food & Beverage,Catering Manager,Commission based,"$43,159",$39654,USD,USD equivalent,United States,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Female,Multiracial
04/13/2021 12:36:17,35-44,Consulting,Senior Consultant,Government pay scale,"106,805.00",,usd,gross,India,,,2 - 4 years,2 - 4 years,PhD,Man,
4/17/2021 2:32:14,45-54,Consulting,Senior Consultant,Government pay scale,"197,041.00",,CAD,,United States,California,,21 - 30 years,21 - 30 years,Master's degree,Woman,Asian or Asian American
04/13/2021,35-44,Banking/Finance,Risk Analyst,Commission based,$102613,,AUD,,Australia,,,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
4/12/2021 1:33:57,35-44,Healthcare,Physician,Entry level position,,,usd,,Germany,,Seattle,5-7 years,5-7 years,College degree,Male,White
04/13/2021 00:16:07,35-44,Banking/Finance,Banker,,"107,418","$1,530",USD,,U.S.,Oregon,Seattle,5-7 years,5-7 years,Master's degree,Female,
04/14/2021,35-44,Engineering (Civil),Civil Engineer,Contract role,96851,,USD,net,UK,,,8 - 10 years,8 - 10 years,Master's degree,,
4/28/2021 21:45:02,25-34,Accounting,Accounting Manager,Entry level position,126105,"8,003",USD,,UK,,Chicago,11 - 20 years,11 - 20 years,High School,Female,Black or African American
04/15/2021 18:07:40,25-34,Engineering,Principal Engineer,Academic salary,$95370,,USD,,United States,Massachusetts,Austin,21 - 30 years,21 - 30 years,High School,,Another option not listed here
2021-04-12 07:01,35-44,Media & Publishing,Reporter,,"$77,653","8,749",USD,,Australia,,Portland,5-7 years,5-7 years,College degree,Female,
2021-04-20 05:51,35-44,Government & Public Administration,City Planner,Remote position,"63,773","4,858",USD,gross,Canada,,,2 - 4 years,2 - 4 years,Master's degree,Male,
4/15/2021 10:26:09,25-34,Media & Publishing,Editor,Part-time equivalent," 51,181 ",,AUD,,Canada,,Seattle,5-7 years,5-7 years,Master's degree,Woman,Multiracial
04/19/2021,35-44,Retail,Buyer,Commission based,,N/A,USD,USD equivalent,U.S.,,,11 - 20 years,11 - 20 years,Master's degree,Non-binary/third gender,"Hispanic, Latino, or Spanish origin"
04/29/2021 21:18:37,25-34,Engineering,Chemical Engineer,Entry level position,,,USD,,United States,Colorado,Seattle,8 - 10 years,8 - 10 years,Some college,woman,
04/21/2021,18-24,Insurance,Insurance Manager,Senior level,59591,"8,519.00",USD,,UK,,Los Angeles,2 - 4 years,2 - 4 years,High School,Non-binary/third gender,Asian or Asian American
04/20/2021,25-34,Tech/Software,Software Developer,Entry level position,194144," 18,563 ",USD ,gross,United States,Colorado,,21 - 30 years,21 - 30 years,College degree,Non-binary/third gender,Multiracial
04/23/2021 18:44:03,55-64,Education (K-12),Elementary Teacher,,,,USD,,United States,,New York,11 - 20 years,11 - 20 years,College degree,Female,Asian or Asian American
04/24/2021,25-34,Insurance,Underwriter,,"43,808.00",,CAD,,Australia,,Boston,8 - 10 years,8 - 10 years,Master's degree,Non-binary,Black or African American
2021-04-22 11:54,25-34,Consulting,Associate Consultant,Includes bonus,"79,263.00",,USD,,United States,,,11 - 20 years,11 - 20 years,College degree,man,Black or African American
2021-04-21 06:54,25-34,Law,Public Defender,Academic salary,98890,,USD,,Germany,,Boston,1 year or less,1 year or less,College degree,Man,Another option not listed here
4/27/2021 22:51:15,45-54,Engineering,Electrical Engineer,,"97,234.00",8029,CAD,,United States,Colorado,,5-7 years,5-7 years,Master's degree,Female,Another option not listed here
4/27/2021 4:07:21,25-34,Consulting,Senior Consultant,,121794,N/A,USD,,Australia,,,8 - 10 years,8 - 10 years,College degree,Man,Black or African American
4/28/2021 4:40:33,35-44,Finance,Treasurer,Part-time equivalent,$233911,14112,GBP,,Australia,,,21 - 30 years,21 - 30 years,PhD,Non-binary,
04/16/2021,55-64,Healthcare,PA,,"81,347.00","1,401.00",USD,,UK,,Austin,2 - 4 years,2 - 4 years,College degree,woman,
2021-04-26 23:18,45-54,Architecture,Senior Architect,Academic salary,, ,USD,,United States,Oregon,San Francisco,41 years or more,41 years or more,Some college,man,
2021-04-18 08:05,25-34,Healthcare,Surgeon,Remote position,,0.00,GBP,USD equivalent,Canada,,,11 - 20 years,11 - 20 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
4/16/2021 2:44:49,18-24,Finance,Controller,,"113,195.00",4496,INR,,Germany,,,11 - 20 years,11 - 20 years,Master's degree,Non-binary/third gender,Multiracial
04/15/2021 08:43:26,25-34,Education (K-12),Elementary Teacher,,39128,"2,543",CAD,,UK,,,1 year or less,1 year or less,Master's degree,Female,White
04/29/2021 19:54:04,25-34,Healthcare,PA,Part-time equivalent,"$244,849",0,USD,,United Kingdom,,,8 - 10 years,8 - 10 years,Some college,Man,Asian or Asian American
04/18/2021,25-34,Retail,Merchandiser,Commission based,64555,,USD,,United states,Washington,Austin,5-7 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
04/16/2021 12:45:41,25-34,Education (Higher Ed),Associate Professor,Government pay scale,"42,018",$11120,USD,,U.S.,Illinois,Los Angeles,11 - 20 years,11 - 20 years,College degree,Female,White
4/18/2021 20:34:08,35-44,Tech/Software,Software Eng,Commission based,"68,810.00",,GBP,,US,Washington,,5-7 years,5-7 years,College degree,woman,Black or African American
04/22/2021,25-34,Insurance,Claims Adjuster,Part-time equivalent,"84,262.00","11,451",USD,,Germany,,,11 - 20 years,11 - 20 years,Master's degree,woman,
04/15/2021 20:56:56,45-54,Engineering,Engineering Manager,Commission based," 71,263 ",,USD,,Netherlands,,San Francisco,8 - 10 years,8 - 10 years,Some college,man,
04/15/2021 02:12:44,25-34,Architecture,Interior Designer,Remote position,137825,,USD,,United states,,,21 - 30 years,21 - 30 years,College degree,Male,Another option not listed here
04/22/2021,25-34,Banking/Finance,Risk Analyst,Contract role," 76,304 ",2465,USD,,United Kingdom,,Portland,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
4/29/2021 15:14:30,45-54,Banking/Finance,Relationship Manager,Senior level,,,USD,,,,Austin,11 - 20 years,11 - 20 years,Master's degree,Man,
04/23/2021 03:46:47,35-44,Education (Higher Ed),Lecturer,,"92,386",$4394,CAD,,Switzerland,,Boston,11 - 20 years,11 - 20 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
4/15/2021 21:48:31,35-44,Tech/Software,Senior Software Engineer,,35991,,CAD,,United States,Washington,,5-7 years,5-7 years,College degree,Woman,Black or African American
4/19/2021 14:55:28,35-44,HR/People Ops,Chief People Officer,Contract role,,,GBP,,United states,,,1 year or less,1 year or less,High School,man,Asian or Asian American
2021-04-14 06:07,25-34,Engineering (Civil),Project Engineer,Contract role,151083,none,USD,,United States,Oregon,Seattle,21 - 30 years,21 - 30 years,College degree,Female,
4/13/2021 18:30:58,35-44,Education (Higher Ed),Postdoc,Part-time equivalent," 82,957 ",,USD,,Australia,,New York,5-7 years,5-7 years,Master's degree,Woman,
04/20/2021 13:49:24,25-34,Tech/Software,VP of Engineering,,"166,172"," 7,839 ",USD,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Man,"Hispanic, Latino, or Spanish origin"
04/12/2021 07:43:33,35-44,Government & Public Administration,Program Manager,Entry level position,"53,795",,CAD,,France,,,8 - 10 years,8 - 10 years,College degree,,Asian or Asian American
4/14/2021 18:12:36,45-54,Tech/Software,Software Eng,Contract role,$97565,"$4,461",USD,,United Kingdom,,,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non-binary/third gender,Asian or Asian American
04/28/2021,18-24,Education (Higher Ed),adjunct lecturer,,"114,695",4515,USD ,,United States,,Denver,11 - 20 years,11 - 20 years,Master's degree,Male,
04/28/2021,18-24,Education (K-12),High School Teacher,Entry level position,42788,"1,041",USD,,United States,New York,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,Multiracial
04/26/2021 23:52:54,35-44,HR/People Ops,People Operations Manager,Academic salary,23040,0.00,USD,gross,New Zealand,,Boston,11 - 20 years,11 - 20 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
04/29/2021,25-34,Food & Beverage,Food & Beverage Manager,,,,USD,USD equivalent,United States,Oregon,Austin,2 - 4 years,2 - 4 years,Some college,Man,White
2021-04-25 02:33,25-34,Accounting,Accountant,,119792,,USD,USD equivalent,Canada,,,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Male,"Hispanic, Latino, or Spanish origin"
4/25/2021 3:36:14,25-34,Retail,Retail Manager,,116786,0,CAD,,Ireland,,Boston,11 - 20 years,11 - 20 years,PhD,man,Multiracial
4/26/2021 15:33:18,55-64,Food & Beverage,Executive Chef,,"55,708.00",16396,CAD,,USA,Massachusetts,Portland,5-7 years,5-7 years,High School,Woman,Multiracial
04/16/2021,25-34,Media & Publishing,Copy Editor,Academic salary,$24839,,CAD,,,,,21 - 30 years,21 - 30 years,High School,Man,Multiracial
04/14/2021,45-54,Government & Public Administration,State Employee,,91282," 2,211 ",INR,,United States,Massachusetts,,11 - 20 years,11 - 20 years,Master's degree,Man,
04/20/2021,55-64,Tech/Software,Machine Learning Engineer,,124267,,USD,,US,Colorado,,11 - 20 years,11 - 20 years,Master's degree,Non-binary/third gender,White
04/12/2021 07:53:39,25-34,Nursing,Registered Nurse,," 105,467 ","$5,595",USD,USD equivalent,United States,California,Los Angeles,8 - 10 years,8 - 10 years,Some college,man,Multiracial
2021-04-27 19:48,25-34,Education (Higher Ed),Assistant Professor,Remote position,,,USD ,,USA,Illinois,,5-7 years,5-7 years,College degree,Male,Black or African American
04/15/2021 22:58:16,45-54,Media & Publishing,Managing Editor,Part-time equivalent,"72,355",,USD,,Australia,,Chicago,11 - 20 years,11 - 20 years,College degree,man,Asian or Asian American
4/24/2021 3:24:09,45-54,Hospitality,Operations Manager,Part-time equivalent,50744," 1,686 ",INR,,Australia,,New York,5-7 years,5-7 years,Some college,Woman,
04/25/2021,55-64,Engineering,Chemical Engineer,,$78548," 1,559 ",GBP,net,United Kingdom,,Los Angeles,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,
04/21/2021,55-64,Accounting,Controller,Senior level,60143,,GBP,,Canada,,,8 - 10 years,8 - 10 years,College degree,man,White
04/20/2021 00:50:30,25-34,Real Estate,Realtor,,,,USD,,United States,Colorado,,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
4/29/2021 22:47:08,25-34,Consulting,Senior Consultant,Academic salary,"$84,976",7801,USD,,United States,Oregon,Portland,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",man,Multiracial
4/16/2021 21:13:06,35-44,Tech/Software,Product Manager (Tech),Contract role,123736,,USD,,New Zealand,,,2 - 4 years,2 - 4 years,Master's degree,Woman,
04/22/2021 03:42:46,35-44,Accounting,Controller,Academic salary,67273," 17,247 ",USD,gross,USA,Oregon,,2 - 4 years,2 - 4 years,PhD,Female,Black or African American
4/14/2021 15:07:16,35-44,Education (K-12),Principal,,"$44,641",,USD,before tax,Canada,,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,
4/24/2021 4:41:54,25-34,Hospitality,General Manager,,"75,181",,USD,,UK,,,8 - 10 years,8 - 10 years,College degree,Male,Black or African American
2021-04-19 05:07,25-34,Insurance,Actuary,Contract role,"$63,537",,USD,,United States,,,5-7 years,5-7 years,Master's degree,Non-binary,Multiracial
04/22/2021,55-64,Accounting,Controller,Contract role,,0,CAD,,Canada,,San Francisco,8 - 10 years,8 - 10 years,PhD,Non-binary/third gender,Another option not listed here
4/12/2021 19:46:33,45-54,Education (K-12),Elementary Teacher,,"29,722.00",,AUD,,Netherlands,,New York,11 - 20 years,11 - 20 years,Master's degree,Female,White
04/22/2021,35-44,Nursing,ICU Nurse,,92127,$2534,USD,,Netherlands,,,5-7 years,5-7 years,Master's degree,woman,Multiracial
04/20/2021,45-54,Tech/Software,PM,Commission based,"111,817.00",,CAD,,Australia,,,21 - 30 years,21 - 30 years,High School,Woman,"Hispanic, Latino, or Spanish origin"
04/29/2021 09:25:13,25-34,Architecture,Project Architect,,90004,,USD,,United States,California,,8 - 10 years,8 - 10 years,College degree,Man,Asian or Asian American
04/29/2021 06:09:13,25-34,Tech/Software,DevOps Engineer,Academic salary,"157,840",,USD,,United States,Texas,,11 - 20 years,11 - 20 years,PhD,Man,"Hispanic, Latino, or Spanish origin"
2021-04-27 11:14,25-34,Real Estate,Real Estate Agent,Commission based,"141,924", 448 ,USD ,,United States,,,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",man,White
2021-04-27 04:10,25-34,Food & Beverage,Food & Beverage Manager,Commission based,41444,,USD,,United States,Washington,,2 - 4 years,2 - 4 years,Master's degree,Man,Another option not listed here
