order_id,order_date,month,quarter,day_of_week,customer_id,gender,age_group,city,region,channel,payment_method,category,quantity,unit_price,gross_value,discount_pct,discount_amount,net_value,shipping_fee,free_shipping,total_paid,delivery_days,returned,rating,campaign,profit
DH2023006388,2023-01-02,1,Q1,Monday,KH00344,Nữ,25-34,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Sách & Văn phòng,2,129759,259518,0.05,12975,246543,20000,False,266543,3,False,4,,53962
DH2023001433,2023-01-02,1,Q1,Monday,KH04159,Nam,25-34,Hà Nội,Miền Bắc,App,COD,Điện tử,3,1907387,5722161,0.0,0,5722161,0,True,5722161,2,False,4,,686659
DH2023006409,2023-01-02,1,Q1,Monday,KH02565,Nữ,18-24,Hồ Chí Minh,Miền Nam,Zalo Shop,Thẻ ngân hàng,Nhà cửa & Bếp,1,698987,698987,0.05,34949,664038,0,True,664038,2,False,5,,232413
DH2023005159,2023-01-02,1,Q1,Monday,KH04930,Nữ,18-24,Bình Dương,Miền Nam,App,Ví điện tử,Làm đẹp & Sức khỏe,1,242993,242993,0.0,0,242993,15000,False,257993,2,False,5,,101636
DH2023001680,2023-01-02,1,Q1,Monday,KH04893,Nữ,18-24,Hồ Chí Minh,Miền Nam,Web,COD,Thời trang,1,296591,296591,0.0,0,296591,25000,False,321591,2,True,3,,-74147
DH2023005669,2023-01-02,1,Q1,Monday,KH01047,Nam,55+,Hà Nội,Miền Bắc,App,Ví điện tử,Thời trang,2,357831,715662,0.0,0,715662,0,True,715662,3,False,4,,300578
DH2023004742,2023-01-02,1,Q1,Monday,KH00226,Nữ,18-24,Đà Nẵng,Miền Trung,App,Ví điện tử,Điện tử,1,2172434,2172434,0.05,108621,2063813,0,True,2063813,4,False,4,,247657
DH2023005306,2023-01-02,1,Q1,Monday,KH00210,Nam,25-34,Cần Thơ,Miền Nam,App,Trả góp,Điện tử,1,3031665,3031665,0.05,151583,2880082,0,True,2880082,2,False,5,,345609
DH2023002335,2023-01-02,1,Q1,Monday,KH04834,Nam,18-24,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thời trang,1,498246,498246,0.0,0,498246,25000,False,523246,2,False,5,,184263
DH2023000106,2023-01-02,1,Q1,Monday,KH00869,Nữ,18-24,Hà Nội,Miền Bắc,App,COD,Thời trang,1,533517,533517,0.0,0,533517,0,True,533517,2,False,5,,224077
DH2023001162,2023-01-02,1,Q1,Monday,KH00923,Nam,25-34,Cần Thơ,Miền Nam,App,Ví điện tử,Điện tử,1,2620955,2620955,0.0,0,2620955,0,True,2620955,2,False,5,,314514
DH2023006572,2023-01-02,1,Q1,Monday,KH03389,Nam,45-54,Hồ Chí Minh,Miền Nam,App,COD,Làm đẹp & Sức khỏe,1,258977,258977,0.0,0,258977,25000,False,283977,4,False,4,,99308
DH2023000956,2023-01-02,1,Q1,Monday,KH03979,Nam,18-24,Đà Nẵng,Miền Trung,App,Ví điện tử,Thực phẩm,1,202742,202742,0.0,0,202742,35000,False,237742,4,False,4,,15685
DH2023006686,2023-01-02,1,Q1,Monday,KH03206,Nam,25-34,Cần Thơ,Miền Nam,Web,Ví điện tử,Thực phẩm,1,194437,194437,0.0,0,194437,15000,False,209437,2,False,4,,33609
DH2023005901,2023-01-02,1,Q1,Monday,KH01153,Nữ,25-34,Hà Nội,Miền Bắc,App,COD,Thực phẩm,1,177989,177989,0.05,8899,169090,30000,False,199090,2,False,5,,12272
DH2023007963,2023-01-02,1,Q1,Monday,KH04732,Nam,25-34,Hà Nội,Miền Bắc,App,Thẻ ngân hàng,Nhà cửa & Bếp,2,915046,1830092,0.0,0,1830092,0,True,1830092,4,False,5,,640532
DH2023003001,2023-01-03,1,Q1,Tuesday,KH00946,Nam,35-44,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thực phẩm,1,274203,274203,0.0,0,274203,20000,False,294203,1,False,5,,48550
DH2023005434,2023-01-03,1,Q1,Tuesday,KH02776,Nữ,35-44,Đà Nẵng,Miền Trung,Web,QR Code,Điện tử,1,2149040,2149040,0.0,0,2149040,0,True,2149040,4,False,4,,257884
DH2023001919,2023-01-03,1,Q1,Tuesday,KH01182,Nữ,35-44,Huế,Miền Trung,Web,Thẻ ngân hàng,Làm đẹp & Sức khỏe,1,375040,375040,0.0,0,375040,25000,False,400040,4,False,4,,155019
DH2023001257,2023-01-03,1,Q1,Tuesday,KH03252,Nam,35-44,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,318495,318495,0.1,31849,286646,25000,False,311646,1,True,2,,-71661
DH2023005804,2023-01-03,1,Q1,Tuesday,KH02187,Nữ,25-34,Hồ Chí Minh,Miền Nam,Web,QR Code,Nhà cửa & Bếp,1,657264,657264,0.15,98589,558675,0,True,558675,2,False,4,,195536
DH2023006991,2023-01-03,1,Q1,Tuesday,KH03785,Nữ,18-24,Hà Nội,Miền Bắc,App,Ví điện tử,Thời trang,1,605507,605507,0.0,0,605507,0,True,605507,2,False,4,,254312
DH2023007739,2023-01-03,1,Q1,Tuesday,KH03363,Nữ,25-34,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Sách & Văn phòng,1,58866,58866,0.0,0,58866,20000,False,78866,3,False,4,,-2341
DH2023001661,2023-01-03,1,Q1,Tuesday,KH01781,Nữ,18-24,Đà Nẵng,Miền Trung,App,COD,Thời trang,3,348503,1045509,0.0,0,1045509,0,True,1045509,6,False,5,,439113
DH2023004976,2023-01-03,1,Q1,Tuesday,KH02229,Nam,35-44,Hà Nội,Miền Bắc,Shopee Link,Thẻ ngân hàng,Điện tử,1,1873459,1873459,0.0,0,1873459,0,True,1873459,2,False,4,,224815
DH2023002506,2023-01-03,1,Q1,Tuesday,KH04804,Nữ,35-44,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Điện tử,1,2695583,2695583,0.05,134779,2560804,0,True,2560804,2,False,5,,307296
DH2023005374,2023-01-03,1,Q1,Tuesday,KH01705,Nam,35-44,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,132458,132458,0.0,0,132458,15000,False,147458,1,True,1,,-33114
DH2023002112,2023-01-03,1,Q1,Tuesday,KH04690,Nam,18-24,Hà Nội,Miền Bắc,Facebook,Ví điện tử,Điện tử,1,2971849,2971849,0.0,0,2971849,0,True,2971849,2,True,1,,-742962
DH2023002605,2023-01-03,1,Q1,Tuesday,KH02812,Nữ,25-34,Hồ Chí Minh,Miền Nam,App,QR Code,Thời trang,1,210489,210489,0.0,0,210489,25000,False,235489,2,False,5,,63405
DH2023007476,2023-01-03,1,Q1,Tuesday,KH03049,Nam,25-34,Nha Trang,Miền Trung,App,Ví điện tử,Điện tử,2,3701000,7402000,0.0,0,7402000,0,True,7402000,4,False,5,,888240
DH2023000999,2023-01-03,1,Q1,Tuesday,KH03956,Nữ,25-34,Hà Nội,Miền Bắc,App,Ví điện tử,Sách & Văn phòng,1,124520,124520,0.0,0,124520,25000,False,149520,2,False,4,,12356
DH2023006796,2023-01-03,1,Q1,Tuesday,KH04622,Nam,35-44,Vũng Tàu,Miền Nam,App,QR Code,Thời trang,1,343920,343920,0.0,0,343920,25000,False,368920,2,True,2,,-85980
DH2023005275,2023-01-03,1,Q1,Tuesday,KH02264,Nam,35-44,Nha Trang,Miền Trung,App,COD,Nhà cửa & Bếp,1,488582,488582,0.05,24429,464153,30000,False,494153,3,True,1,,-116038
DH2023004155,2023-01-03,1,Q1,Tuesday,KH04626,Nữ,45-54,Hà Nội,Miền Bắc,App,Thẻ ngân hàng,Thực phẩm,1,162504,162504,0.05,8125,154379,20000,False,174379,2,False,5,,18594
DH2023003496,2023-01-03,1,Q1,Tuesday,KH03468,Nam,45-54,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thời trang,1,451191,451191,0.0,0,451191,25000,False,476191,2,False,5,,164500
DH2023002922,2023-01-04,1,Q1,Wednesday,KH01059,Nữ,25-34,Biên Hòa,Miền Nam,App,COD,Thể thao,2,413740,827480,0.1,82748,744732,0,True,744732,4,False,5,,282998
DH2023007027,2023-01-04,1,Q1,Wednesday,KH04732,Nữ,25-34,Hà Nội,Miền Bắc,App,QR Code,Thời trang,2,437791,875582,0.15,131337,744245,0,True,744245,1,False,4,,312582
DH2023003189,2023-01-04,1,Q1,Wednesday,KH04274,Nữ,35-44,Hà Nội,Miền Bắc,App,Ví điện tử,Điện tử,2,3592709,7185418,0.0,0,7185418,0,True,7185418,1,False,5,,862250
DH2023000085,2023-01-04,1,Q1,Wednesday,KH01551,Nữ,25-34,Hồ Chí Minh,Miền Nam,Zalo Shop,Ví điện tử,Thể thao,1,537799,537799,0.0,0,537799,0,True,537799,4,False,5,,204363
DH2023000855,2023-01-04,1,Q1,Wednesday,KH01246,Nam,35-44,Hà Nội,Miền Bắc,App,Ví điện tử,Làm đẹp & Sức khỏe,1,282928,282928,0.0,0,282928,30000,False,312928,3,True,3,,-70732
DH2023003960,2023-01-04,1,Q1,Wednesday,KH04347,Nữ,25-34,Huế,Miền Trung,App,COD,Làm đẹp & Sức khỏe,1,404382,404382,0.05,20219,384163,35000,False,419163,5,False,2,,149398
DH2023002708,2023-01-04,1,Q1,Wednesday,KH01250,Nữ,35-44,Hải Phòng,Miền Bắc,Web,COD,Sách & Văn phòng,1,101744,101744,0.0,0,101744,20000,False,121744,2,False,5,,10523
DH2023004967,2023-01-04,1,Q1,Wednesday,KH01696,Nam,18-24,Đà Nẵng,Miền Trung,App,QR Code,Làm đẹp & Sức khỏe,1,265479,265479,0.0,0,265479,40000,False,305479,5,False,4,,87429
DH2023006490,2023-01-04,1,Q1,Wednesday,KH01836,Nam,35-44,Bình Dương,Miền Nam,App,Ví điện tử,Điện tử,1,2456466,2456466,0.05,122823,2333643,0,True,2333643,2,False,5,,280037
DH2023000944,2023-01-04,1,Q1,Wednesday,KH01815,Nam,18-24,Hải Phòng,Miền Bắc,App,Ví điện tử,Thể thao,1,255334,255334,0.0,0,255334,30000,False,285334,2,False,5,,67026
DH2023001182,2023-01-04,1,Q1,Wednesday,KH00897,Nam,25-34,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Thể thao,2,415920,831840,0.0,0,831840,0,True,831840,2,False,5,,316099
DH2023001998,2023-01-04,1,Q1,Wednesday,KH00306,Nam,25-34,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Điện tử,2,2922034,5844068,0.1,584406,5259662,0,True,5259662,3,False,4,,631159
DH2023003568,2023-01-04,1,Q1,Wednesday,KH01399,Nữ,18-24,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Nhà cửa & Bếp,2,723158,1446316,0.0,0,1446316,0,True,1446316,4,False,3,,506210
DH2023006327,2023-01-04,1,Q1,Wednesday,KH04637,Nữ,35-44,Hà Nội,Miền Bắc,App,COD,Đồ chơi & Trẻ em,1,242604,242604,0.0,0,242604,25000,False,267604,2,False,5,,72041
DH2023001578,2023-01-04,1,Q1,Wednesday,KH01312,Nam,25-34,Hà Nội,Miền Bắc,App,Ví điện tử,Điện tử,1,2501566,2501566,0.1,250156,2251410,0,True,2251410,2,False,5,,270169
DH2023000539,2023-01-04,1,Q1,Wednesday,KH05183,Nam,18-24,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Làm đẹp & Sức khỏe,1,200384,200384,0.05,10019,190365,20000,False,210365,3,False,4,,71375
DH2023003602,2023-01-04,1,Q1,Wednesday,KH04281,Nam,35-44,Hà Nội,Miền Bắc,Shopee Link,Ví điện tử,Thể thao,1,604908,604908,0.0,0,604908,0,True,604908,2,False,5,,229865
DH2023003015,2023-01-04,1,Q1,Wednesday,KH02800,Nam,25-34,Hồ Chí Minh,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,273690,273690,0.0,0,273690,20000,False,293690,2,True,2,,-68422
DH2023003100,2023-01-04,1,Q1,Wednesday,KH04293,Nam,25-34,Cần Thơ,Miền Nam,Web,Ví điện tử,Thể thao,1,533035,533035,0.1,53303,479732,20000,False,499732,2,False,4,,162298
DH2023003674,2023-01-04,1,Q1,Wednesday,KH01899,Nữ,25-34,Hải Phòng,Miền Bắc,App,Thẻ ngân hàng,Làm đẹp & Sức khỏe,1,343914,343914,0.1,34391,309523,25000,False,334523,2,False,5,,123571
DH2023002457,2023-01-04,1,Q1,Wednesday,KH02390,Nam,25-34,Hà Nội,Miền Bắc,Web,Ví điện tử,Điện tử,1,2703038,2703038,0.1,270303,2432735,0,True,2432735,2,False,5,,291928
DH2023001759,2023-01-04,1,Q1,Wednesday,KH00289,Nữ,35-44,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Làm đẹp & Sức khỏe,1,219953,219953,0.0,0,219953,15000,False,234953,1,False,4,,90577
DH2023005377,2023-01-04,1,Q1,Wednesday,KH01380,Nữ,18-24,Bình Dương,Miền Nam,Web,COD,Thể thao,2,457875,915750,0.1,91575,824175,0,True,824175,1,False,5,,313186
DH2023007904,2023-01-04,1,Q1,Wednesday,KH03093,Nam,18-24,Vũng Tàu,Miền Nam,App,Ví điện tử,Thực phẩm,1,253896,253896,0.05,12694,241202,20000,False,261202,4,False,5,,40300
DH2023007138,2023-01-04,1,Q1,Wednesday,KH00517,Nam,25-34,Hà Nội,Miền Bắc,App,COD,Điện tử,1,1854357,1854357,0.05,92717,1761640,0,True,1761640,2,False,5,,211396
DH2023000297,2023-01-05,1,Q1,Thursday,KH00451,Nam,45-54,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Nhà cửa & Bếp,1,253667,253667,0.1,25366,228301,20000,False,248301,2,False,5,,59905
DH2023003326,2023-01-05,1,Q1,Thursday,KH01999,Nam,25-34,Bình Dương,Miền Nam,Web,Ví điện tử,Thể thao,1,436303,436303,0.0,0,436303,20000,False,456303,2,True,2,,-109075
DH2023006047,2023-01-05,1,Q1,Thursday,KH01155,Nam,55+,Cần Thơ,Miền Nam,App,Ví điện tử,Làm đẹp & Sức khỏe,1,209165,209165,0.05,10458,198707,25000,False,223707,2,False,5,,70379
DH2023006092,2023-01-05,1,Q1,Thursday,KH01395,Nữ,35-44,Biên Hòa,Miền Nam,Web,Ví điện tử,Sách & Văn phòng,1,179468,179468,0.0,0,179468,15000,False,194468,2,False,5,,38840
DH2023000878,2023-01-05,1,Q1,Thursday,KH02397,Nữ,25-34,Hồ Chí Minh,Miền Nam,Web,COD,Nhà cửa & Bếp,2,1036823,2073646,0.0,0,2073646,0,True,2073646,2,False,5,,725776
DH2023007442,2023-01-05,1,Q1,Thursday,KH04821,Nữ,45-54,Đà Nẵng,Miền Trung,App,Ví điện tử,Nhà cửa & Bếp,1,653114,653114,0.05,32655,620459,0,True,620459,3,False,5,,217160
DH2023002422,2023-01-05,1,Q1,Thursday,KH03786,Nữ,25-34,Hồ Chí Minh,Miền Nam,App,COD,Sách & Văn phòng,1,155397,155397,0.1,15539,139858,15000,False,154858,2,False,5,,26957
DH2023001960,2023-01-05,1,Q1,Thursday,KH00985,Nữ,25-34,Hà Nội,Miền Bắc,Web,Trả góp,Thời trang,1,159896,159896,0.1,15989,143907,20000,False,163907,2,False,5,,40440
DH2023007632,2023-01-05,1,Q1,Thursday,KH02919,Nam,25-34,Hà Nội,Miền Bắc,Web,COD,Thực phẩm,1,144373,144373,0.0,0,144373,20000,False,164373,2,False,5,,16093
DH2023002613,2023-01-05,1,Q1,Thursday,KH02810,Nam,35-44,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Điện tử,1,1573088,1573088,0.0,0,1573088,0,True,1573088,4,False,5,,188770
DH2023004587,2023-01-05,1,Q1,Thursday,KH00887,Nữ,25-34,Hà Nội,Miền Bắc,App,COD,Làm đẹp & Sức khỏe,1,250592,250592,0.0,0,250592,30000,False,280592,1,False,5,,90284
DH2023001971,2023-01-05,1,Q1,Thursday,KH04163,Nữ,45-54,Cần Thơ,Miền Nam,App,COD,Nhà cửa & Bếp,1,631250,631250,0.0,0,631250,0,True,631250,1,False,5,,220937
DH2023002093,2023-01-05,1,Q1,Thursday,KH05120,Nam,55+,Cần Thơ,Miền Nam,Web,Trả góp,Thời trang,1,371331,371331,0.0,0,371331,15000,False,386331,2,False,5,,140959
DH2023006921,2023-01-05,1,Q1,Thursday,KH03821,Nam,25-34,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Nhà cửa & Bếp,1,410134,410134,0.15,61520,348614,25000,False,373614,2,False,4,,97014
DH2023002108,2023-01-05,1,Q1,Thursday,KH04806,Nữ,25-34,Đà Nẵng,Miền Trung,Web,Trả góp,Thời trang,1,228317,228317,0.1,22831,205486,35000,False,240486,3,False,4,,51304
DH2023004214,2023-01-05,1,Q1,Thursday,KH02424,Nữ,18-24,Bình Dương,Miền Nam,Zalo Shop,Ví điện tử,Nhà cửa & Bếp,1,749989,749989,0.15,112498,637491,0,True,637491,1,False,5,,223121
DH2023006262,2023-01-05,1,Q1,Thursday,KH02599,Nam,18-24,Bình Dương,Miền Nam,App,Thẻ ngân hàng,Thời trang,1,390110,390110,0.0,0,390110,15000,False,405110,2,False,5,,148846
DH2023004880,2023-01-05,1,Q1,Thursday,KH00764,Nam,18-24,Hà Nội,Miền Bắc,App,Ví điện tử,Điện tử,1,1950333,1950333,0.05,97516,1852817,0,True,1852817,2,False,5,,222338
DH2023004387,2023-01-05,1,Q1,Thursday,KH00421,Nữ,18-24,Hà Nội,Miền Bắc,App,Ví điện tử,Điện tử,1,3701278,3701278,0.0,0,3701278,0,True,3701278,1,False,4,,444153
DH2023003997,2023-01-05,1,Q1,Thursday,KH01807,Nữ,18-24,Hồ Chí Minh,Miền Nam,App,QR Code,Làm đẹp & Sức khỏe,1,224299,224299,0.0,0,224299,15000,False,239299,2,True,1,,-56074
DH2023007011,2023-01-05,1,Q1,Thursday,KH00310,Nam,25-34,Vũng Tàu,Miền Nam,App,Ví điện tử,Điện tử,1,2987175,2987175,0.0,0,2987175,0,True,2987175,2,False,5,,358461
DH2023004466,2023-01-05,1,Q1,Thursday,KH03094,Nữ,35-44,Vũng Tàu,Miền Nam,App,Trả góp,Thời trang,1,416500,416500,0.05,20825,395675,25000,False,420675,2,False,5,,141183
DH2023004948,2023-01-05,1,Q1,Thursday,KH01557,Nam,25-34,Đà Nẵng,Miền Trung,Web,Trả góp,Đồ chơi & Trẻ em,1,294778,294778,0.0,0,294778,30000,False,324778,4,False,3,,87911
DH2023001004,2023-01-05,1,Q1,Thursday,KH01433,Nữ,25-34,Hà Nội,Miền Bắc,App,Thẻ ngân hàng,Đồ chơi & Trẻ em,1,173933,173933,0.1,17393,156540,25000,False,181540,2,False,3,,37616
DH2023005629,2023-01-05,1,Q1,Thursday,KH00493,Nữ,25-34,Hà Nội,Miền Bắc,App,COD,Nhà cửa & Bếp,1,713656,713656,0.05,35682,677974,0,True,677974,3,False,5,,237290
DH2023002290,2023-01-05,1,Q1,Thursday,KH00679,Nữ,25-34,Bình Dương,Miền Nam,App,Ví điện tử,Nhà cửa & Bếp,2,820674,1641348,0.0,0,1641348,0,True,1641348,2,False,3,,574471
DH2023007079,2023-01-05,1,Q1,Thursday,KH03605,Nữ,45-54,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Làm đẹp & Sức khỏe,2,272563,545126,0.0,0,545126,0,True,545126,2,False,5,,261660
DH2023002057,2023-01-05,1,Q1,Thursday,KH02385,Nữ,35-44,Hồ Chí Minh,Miền Nam,App,Ví điện tử,Thời trang,1,360661,360661,0.0,0,360661,25000,False,385661,2,False,4,,126477
DH2023003532,2023-01-06,1,Q1,Friday,KH03303,Nữ,25-34,Hồ Chí Minh,Miền Nam,App,COD,Điện tử,1,3123254,3123254,0.0,0,3123254,0,True,3123254,2,False,4,,374790
DH2023002981,2023-01-06,1,Q1,Friday,KH02470,Nam,45-54,Biên Hòa,Miền Nam,App,COD,Thực phẩm,1,116438,116438,0.0,0,116438,20000,False,136438,4,False,4,,9109
DH2023007383,2023-01-06,1,Q1,Friday,KH04582,Nữ,45-54,Hồ Chí Minh,Miền Nam,App,Trả góp,Thời trang,1,319331,319331,0.0,0,319331,15000,False,334331,2,False,3,,119119
DH2023007101,2023-01-06,1,Q1,Friday,KH00249,Nữ,25-34,Bình Dương,Miền Nam,Web,QR Code,Điện tử,2,3985473,7970946,0.15,1195641,6775305,0,True,6775305,2,True,1,,-1693826
DH2023005873,2023-01-06,1,Q1,Friday,KH04745,Nữ,18-24,Hà Nội,Miền Bắc,Zalo Shop,Ví điện tử,Thời trang,1,364158,364158,0.0,0,364158,25000,False,389158,2,False,4,,127946
DH2023001022,2023-01-06,1,Q1,Friday,KH03284,Nam,35-44,Hồ Chí Minh,Miền Nam,App,COD,Thể thao,1,582492,582492,0.0,0,582492,0,True,582492,2,False,5,,221346
DH2023002450,2023-01-06,1,Q1,Friday,KH01147,Nữ,25-34,Hà Nội,Miền Bắc,App,COD,Làm đẹp & Sức khỏe,1,215124,215124,0.0,0,215124,30000,False,245124,2,False,5,,73259
DH2023004173,2023-01-06,1,Q1,Friday,KH03087,Nữ,45-54,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Thực phẩm,1,145527,145527,0.0,0,145527,20000,False,165527,1,False,5,,16381
DH2023000726,2023-01-06,1,Q1,Friday,KH01561,Nữ,25-34,Hồ Chí Minh,Miền Nam,Web,Ví điện tử,Điện tử,2,3031957,6063914,0.0,0,6063914,0,True,6063914,2,False,5,,727669
